rel_path,best_iou,picked_pred_cls,picked_gt_cls,score_top1p,score_top5p,score_top10p,score_top50p,score_top100p,AUC_topK
camera0_10_image000001.jpg,nan,-1,10,nan,nan,nan,nan,nan,0.0
camera0_10_image000011.jpg,nan,-1,10,nan,nan,nan,nan,nan,0.0
camera0_10_image000021.jpg,nan,-1,10,nan,nan,nan,nan,nan,0.0
camera0_10_image000031.jpg,nan,-1,10,nan,nan,nan,nan,nan,0.0
camera0_10_image000041.jpg,nan,-1,10,nan,nan,nan,nan,nan,0.0
camera0_10_image000051.jpg,nan,-1,10,nan,nan,nan,nan,nan,0.0
camera0_10_image000061.jpg,nan,-1,10,nan,nan,nan,nan,nan,0.0
camera0_10_image000071.jpg,0.6354628760159311,10,10,0.9543978483646467,0.8892753819261847,0.8575973552978091,0.7653382858808383,0.5211340124684142,0.7340913998580395
camera0_10_image000081.jpg,nan,-1,10,nan,nan,nan,nan,nan,0.0
camera0_10_image000091.jpg,0.6394161163007477,10,10,0.6978459691243755,0.8131036277721005,0.8343073425814164,0.7699306083014927,0.5231068355628565,0.7227386033731684
camera0_10_image000101.jpg,nan,-1,10,nan,nan,nan,nan,nan,0.0
camera0_10_image000111.jpg,nan,-1,10,nan,nan,nan,nan,nan,0.0
camera0_10_image000121.jpg,nan,-1,10,nan,nan,nan,nan,nan,0.0
camera0_10_image000131.jpg,nan,-1,10,nan,nan,nan,nan,nan,0.0
camera0_10_image000141.jpg,nan,-1,10,nan,nan,nan,nan,nan,0.0
camera0_10_image000151.jpg,nan,-1,10,nan,nan,nan,nan,nan,0.0
camera0_10_image000161.jpg,nan,-1,10,nan,nan,nan,nan,nan,0.0
camera0_10_image000171.jpg,nan,-1,10,nan,nan,nan,nan,nan,0.0
camera0_10_image000181.jpg,nan,-1,10,nan,nan,nan,nan,nan,0.0
camera0_10_image000191.jpg,nan,-1,10,nan,nan,nan,nan,nan,0.0
camera0_10_image000201.jpg,nan,-1,10,nan,nan,nan,nan,nan,0.0
camera0_10_image000211.jpg,0.6850518098601366,10,10,1.0,1.0,0.9580973559526074,0.8303178196306443,0.5233500499391426,0.7929822589978912
